GENERATION; BEST RESULT; MEAN AVG; WORST RESULT
0;31519,14096;29218,13092;24901,95687
1;31519,14096;30024,25254;29141,89061
2;31519,14096;30359,24791;27873,01874
3;31519,14096;29255,57137;25790,48843
4;31519,14096;29937,63053;22871,19159
5;31519,14096;30495,59052;20550,15915
6;31519,14096;29802,25168;24972,10186
7;43617,90637;29673,59692;20551,26222
8;43617,90637;30881,25601;26779,3529
9;43617,90637;30825,19654;25783,28202
10;43617,90637;30220,3828;25562,47382
11;43617,90637;30771,93086;23451,33618
12;43617,90637;32333,22134;26017,81455
13;43617,90637;32378,34011;20482,9021
14;43617,90637;35166,28534;25677,67173
15;43760,01173;37273,97433;26656,22033
16;43760,01173;32176,74722;24788,1675
17;43788,97717;32255,34242;27625,7971
18;43788,97717;32339,66698;25586,0087
19;48836,29591;36448,19087;26254,36221
20;48836,29591;36444,52437;21228,49692
21;48836,29591;39877,51535;26254,16739
22;48836,29591;39554,96676;27556,24312
23;48836,29591;34119,5108;26315,4904
24;48836,29591;29674,0462;25637,63849
25;48836,29591;30601,61417;25418,86278
26;48836,29591;32852,64743;26248,52028
27;48836,29591;34308,70602;26484,20371
28;48836,29591;39835,17434;30982,76338
29;49085,53026;39838,03678;31580,1749
30;50799,23572;43315,67354;30683,95159
31;50799,23572;43320,89202;27774,66463
32;50799,23572;30899,80594;25104,66798
33;50799,23572;31500,70396;22781,3201
34;50799,23572;30176,86135;25807,39797
35;50943,26318;32170,66555;26010,05497
36;50943,26318;33902,8479;25957,70219
37;51237,38768;34534,7757;28127,50913
38;51237,38768;39394,16718;25754,64544
39;51237,38768;32680,36392;26110,49653
40;52443,19068;32919,18164;27502,88444
41;52443,19068;30458,45802;25194,25149
42;52443,19068;30605,65479;25348,59322
43;52443,19068;33243,32473;23332,37996
44;52443,19068;37318,42851;26859,93826
45;52747,38112;44891,40816;29178,08765
46;52747,38112;46725,13069;26812,22721
47;52747,38112;42291,74233;25443,82018
48;53073,24574;51885,91559;32859,57259
49;53073,24574;36580,58682;24565,14795
50;53073,24574;43095,59093;25689,71448
51;53073,24574;42141,18034;17305,05935
52;53073,24574;38889,55657;26448,45758
53;53073,24574;38807,03603;26370,14579
54;53073,24574;38158,14037;22018,22004
55;53073,24574;34846,70885;25939,77882
56;66056,19393;39859,51333;28594,54829
57;66056,19393;45069,2029;25302,46471
58;66056,19393;44669,14491;27896,76596
59;66157,06238;44081,17331;25163,05127
60;66157,06238;36052,2526;26104,55466
61;66157,06238;36278,13272;20625,85291
62;66157,06238;44327,13905;25948,23269
63;66157,06238;57004,20497;25481,69823
64;105828,0896;61611,41103;25438,19175
65;105828,0896;35518,05743;25712,35256
66;105828,0896;42822,78745;25420,54271
67;105828,0896;56772,84177;28766,06047
68;105828,0896;67769,01432;35719,0079
69;108168,0608;69804,05484;37195,86339
70;108168,0608;42968,13332;25991,01632
71;108168,0608;58499,1854;26003,27173
72;108168,0608;76883,04799;25930,93012
73;121254,5419;103770,6429;38485,98769
74;121254,5419;104534,8202;51365,86157
75;132074,5051;104998,3838;51365,86157
76;132074,5051;105915,3493;35932,27922
77;132074,5051;108293,9952;41425,02869
78;132074,5051;107779,6366;37821,37363
79;134805,7552;108493,3364;30541,87569
80;134805,7552;109403,2623;35984,84235
81;134805,7552;60804,47369;26184,64987
82;138237,0686;93683,66891;27343,30857
83;138237,0686;89583,46012;25230,66859
84;138237,0686;97769,46982;25560,91305
85;138237,0686;130890,1467;39472,10813
86;138388,4514;128910,8416;60674,74835
87;138388,4514;60164,41029;25632,77883
88;141688,8595;90328,96715;24145,39348
89;141688,8595;113299,1146;31079,83543
90;141688,8595;131318,2982;39472,10813
91;141688,8595;133784,0498;74017,73039
92;141688,8595;132216,8651;38322,71475
93;141688,8595;31494,64598;25743,95976
94;143390,8373;30841,72922;23483,03269
95;143390,8373;32565,80475;26017,58874
96;143390,8373;33298,29851;25365,78981
97;143390,8373;38044,23672;27442,0712
98;143390,8373;37681,15939;25080,95703
99;143390,8373;45228,92986;24915,1219
100;143390,8373;31541,31401;26071,54982
